Nome,Estrelas,Avaliações,Cozinha,Preço,Segurança,Reviews
 Casa da Pizza,4.5,448,Pizza,2.5,1,"['“Melhor pizza que já provei!”', '“Covid 19”']"
 Tempero das Gerais,4.5,653,"Brasileira, Grelhados",2.5,0,"['“Delivery”', '“Comida boa e farta, com direito a marmita”']"
 Fogo de Chão Jardins,4.5,1380,"Steakhouse, Brasileira",4.0,0,"['“excelência em atendimento”', '“Excelente comida e atendimento.”']"
 Le Manjue Organique - Jardins,4.5,251,"Saudável, Brasileira",2.5,0,"['“Le Manjue Jardins”', '“O melhor risoto de carne de Caju”']"
 Tatini Restaurante,4.5,1382,Italiana,4.0,0,"['“Nada mais que o melhor!”', '“Comida de primeira”']"
 Loup Restaurante,4.5,264,"Mediterrânea, Internacional",4.0,0,"['“Loup Restaurante”', '“Com certeza vale a visita.”']"
 NOSU Culinária Japonesa,4.5,622,"Japonesa, Frutos do mar",2.5,0,"['“Bonito ambiente e excelente comida”', '“Restaurante japonês incrível!”']"
 Casa TTua,4.5,212,Brasileira,2.5,0,"['“Bom atendimento.”', '“Muita confusão”']"
 Jam Itaim,4.5,702,"Japonesa, Frutos do mar",4.0,0,"['“Awesome!”', '“Espetacular!!!”']"
 Taormina,4.5,442,"Italiana, Europeia",2.5,0,"['“Não deixe de ir!!”', '“Muito boa comida. Atendimento”']"
 Fogo de Chao,4.5,841,"Steakhouse, Brasileira",4.0,0,"['“Continua ótima como sempre”', '“Experiência incrível”']"
 Mocotó,4.5,3218,"Brasileira, Sul-americana",2.5,0,"['“Perfeita experiência culinária”', '“Mocotó te remete ao Nordeste”']"
 Villa Roma Pizza - Jardins,4.5,301,"Pizza, Italiana",2.5,0,"['“Atendimento excelente”', '“Ambiente agradável e pizza excelente”']"
 Vinheria Percussi,4.5,790,"Italiana, Mediterrânea",4.0,0,"['“Jantar de sexta.”', '“Italiano tradicional e impecável.”']"
 Restaurante Emiliano,4.5,392,Contemporânea,4.0,0,"['“Restaurante impecável!! ,”', '“Brunch espetacular”']"
 Fitó,4.5,505,"Brasileira, Bar",2.5,0,"['“Boa Opção Brasileira Autoral”', '“Comida deliciosa!”']"
 Zucco,4.5,1303,"Italiana, Mediterrânea",4.0,0,"['“Impecável : serviço e comida.”', '“Maravilhoso”']"
 Calle 54,4.5,755,"Steakhouse, Latina",2.5,0,"['“Simpatia, prestatividade e”', '“Excelente comida, excelente atendimento”']"
 Manihi Sushi,4.5,656,"Japonesa, Frutos do mar",2.5,0,"['“O melhor de São Paulo”', '“Excepcional atendimento e qualidade”']"
 Restaurante Reet Namaste,4.5,271,"Asiática, Indiana",2.5,1,"['“Bom restaurante indiano”', '“Excelente”']"
 Bravo Bar,4.5,265,"Brasileira, Café",4.0,1,"['“Almoço legal”', '“Uma lindeza”']"
 Bacalhau Vinho e Cia Itaim Bibi,5.0,71,"Portuguesa, Frutos do mar",2.5,0,"['“Bacalhau maravilhoso!”', '“Agradável surpresa”']"
 Lolla Meets Fire,4.5,139,"Steakhouse, Brasileira",2.5,0,"['“Comida de qualidade c preço honesto”', '“Soberbo”']"
 Vicolo Nostro,4.5,1903,"Italiana, Europeia",4.0,0,"['“Impecável!”', '“Ambiente e decoração lindos”']"
 Fogão Gaúcho,4.5,303,"Steakhouse, Churrasco",2.5,0,"['“Recomendo!”', '“Melhor rodízio de carnes”']"
 Le'Bou - Food Art Bar,4.5,140,"Bar, Internacional",2.5,0,"['“Pegada francesa em cardápio enxuto”', '“Ótimo almoço”']"
 Ruella,4.5,1006,"Francesa, Europeia",4.0,0,"['“Voltaremos em breve!”', '“Perfeito”']"
 Johnny Rockets,4.5,406,"Americana, Lanchonete",2.5,0,"['“INCRÍVEL”', '“Excelente atendimento e ótima refeição”']"
 Sushi Isao,4.5,607,"Japonesa, Frutos do mar",2.5,0,"['“O sushi é delicioso, atendimento nota 10!”', '“Excelente!!!”']"
 La Tambouille,4.5,785,"Italiana, Francesa",4.0,0,"['“Espetacular”', '“Sofisticado, clássico e agradável!”']"
 Avanhandava,4.5,325,"Italiana, Pizza",2.5,0,"['“A rua mais charmosa de SP”', '“Decepcionante”']"
 Yoka,4.5,353,"Japonesa, Lanchonete",1.0,0,"['“melhor pastel”', '“Não tem perigo, tudo é bom”']"
 Famiglia Mancini,4.5,13856,"Italiana, Mediterrânea",2.5,0,"['“bom, bom e bom!!”', '“Lugar Favorito !!!”']"
 Sargento Garcia,4.5,191,"Frutos do mar, Mediterrânea",2.5,0,"['“RESTAURANTE REFERÊNCIA EM SÃO PAULO.”', '“UM DOS MELHORES RESTAURANTES DE SAMPA.”']"
 Restaurante Tarsila,4.5,307,Internacional,4.0,0,"['“Restaurante sensacional !”', '“Excelente Brunch”']"
 Bbq Company,4.5,177,"Steakhouse, Brasileira",2.5,1,"['“Super indico ☺️”', '“Excelente escolha pra carnes”']"
 Trattoria TavoLino,5.0,72,Italiana,2.5,0,"['“100% em qualidade de refeições”', '“Tudo perfeito!”']"
 Barbacoa - Itaim,4.5,1429,"Steakhouse, Brasileira",4.0,0,"['“Ótima e saborosa experiência”', '“MELHOR Churrascaria de São Paulo”']"
 Komah,4.5,270,"Asiática, Coreana",2.5,0,"['“Sabor único”', '“Típico restaurante da Hype Paulistana.”']"
 Goose Island Brewhouse,4.5,1187,"Americana, Bar",2.5,0,"['“Ótimo bar. Várias opções de”', '“Local para chopp no fds!”']"
 Cantaloup,4.5,429,Contemporânea,4.0,0,"['“Excelente!”', '“Que experiência! Nota 1000!”']"
 Quintal do Bráz,4.5,1212,Pizza,2.5,0,"['“Maravilhosa pizzaria\nAmbiente”', '“A pizza mais famosa é a caprese”']"
 EMA Restaurante,4.5,262,Brasileira,4.0,0,"['“Aconchegante e saboroso!”', '“Comida divina”']"
 Pizzaria Veridiana Jardins,4.5,1360,"Italiana, Pizza",2.5,0,"['“Excelente pizza mesmo no delivery”', '“Que ambiente !!!! Voltaria”']"
 Maracujá Restaurante,4.5,248,"Brasileira, Saudável",2.5,0,"['“Gostei muito !”', '“Ótima opção na região para encontrar...”']"
 Bar da Dona Onça,4.5,2914,"Brasileira, Bar",2.5,0,"['“Cardápio diferentão”', '“Delícia de lugar!”']"
 Gioconda & Heleniká Pizzaria Grega,4.5,577,"Pizza, Europeia",2.5,1,"['“Pizzaria com magia e encantamento”', '“Que massa incrível!”']"
 Lótus Restaurante Vegetariano,4.5,192,"Asiática, Chinesa",2.5,0,"['“Não tava ruim mas também não tava bom”', '“Local limpo, organizado e aconchegante”']"
 La Penisola,4.5,276,Italiana,2.5,0,"['“Atendimento maravilhoso, menu”', '“Surpreendente e delicioso!!”']"
 Sushi Hiroshi,4.5,483,"Japonesa, Sushi",2.5,0,"['“Sensacional”', '“Japonês de qualidade.”']"
 Sushi Lika,4.5,320,"Japonesa, Sushi",2.5,0,"['“Plaquinhas com disponibilidades de peixe...”', '“Jantar”']"
 Jun Sakamoto,4.5,393,"Japonesa, Frutos do mar",4.0,0,"['“Magnífico, como sempre”', '“Delicadeza e Excelência”']"
 Santo Colomba,4.5,172,"Italiana, Internacional",4.0,0,"['“Sem dúvidas o melhor italiano”', '“Tradicional.”']"
 Trattoria Nacional,4.5,326,"Grelhados, Italiana",2.5,0,"['“jantar com a família”', '“Excelente”']"
 Amadeus,4.5,663,Frutos do mar,4.0,0,"['“Restaurante maravilhoso, com”', '“Restaurante incrível, ambiente”']"
 Kaa Restaurante,4.5,1791,"Internacional, Mediterrânea",4.0,0,"['“Otimo restaurante”', '“Restaurante Kaá SP fora de SP”']"
 Casa Santo Antônio Restaurante,4.5,529,"Italiana, Europeia",2.5,1,"['“Autêntico Italiano”', '“Excelente opção.”']"
